Date,Open,High,Low,Close,Adj Close,Volume
1998-01-26,14.750000,14.750000,14.750000,14.750000,9.844866,0
1998-01-27,14.930000,14.930000,14.930000,14.930000,9.965003,0
1998-01-28,15.070000,15.070000,15.070000,15.070000,10.058448,0
1998-01-29,15.190000,15.190000,15.190000,15.190000,10.138541,0
1998-01-30,15.110000,15.110000,15.110000,15.110000,10.085146,0
1998-02-02,15.430000,15.430000,15.430000,15.430000,10.298728,0
1998-02-03,15.510000,15.510000,15.510000,15.510000,10.352124,0
1998-02-04,15.520000,15.520000,15.520000,15.520000,10.358801,0
1998-02-05,15.470000,15.470000,15.470000,15.470000,10.325427,0
1998-02-06,15.610000,15.610000,15.610000,15.610000,10.418869,0
1998-02-09,15.590000,15.590000,15.590000,15.590000,10.405519,0
1998-02-10,15.720000,15.720000,15.720000,15.720000,10.492290,0
1998-02-11,15.730000,15.730000,15.730000,15.730000,10.498963,0
1998-02-12,15.800000,15.800000,15.800000,15.800000,10.545687,0
1998-02-13,15.740000,15.740000,15.740000,15.740000,10.505638,0
1998-02-17,15.780000,15.780000,15.780000,15.780000,10.532337,0
1998-02-18,15.930000,15.930000,15.930000,15.930000,10.632454,0
1998-02-19,15.870000,15.870000,15.870000,15.870000,10.592406,0
1998-02-20,15.960000,15.960000,15.960000,15.960000,10.652477,0
1998-02-23,16.020000,16.020000,16.020000,16.020000,10.692521,0
1998-02-24,15.900000,15.900000,15.900000,15.900000,10.612431,0
1998-02-25,16.100000,16.100000,16.100000,16.100000,10.745920,0
1998-02-26,16.100000,16.100000,16.100000,16.100000,10.745920,0
1998-02-27,16.200001,16.200001,16.200001,16.200001,10.812663,0
1998-03-02,16.170000,16.170000,16.170000,16.170000,10.792641,0
1998-03-03,16.240000,16.240000,16.240000,16.240000,10.839360,0
1998-03-04,16.170000,16.170000,16.170000,16.170000,10.792641,0
1998-03-05,15.980000,15.980000,15.980000,15.980000,10.665824,0
1998-03-06,16.299999,16.299999,16.299999,16.299999,10.879409,0
1998-03-09,16.250000,16.250000,16.250000,16.250000,10.846037,0
1998-03-10,16.440001,16.440001,16.440001,16.440001,10.972852,0
1998-03-11,16.500000,16.500000,16.500000,16.500000,11.012897,0
1998-03-12,16.530001,16.530001,16.530001,16.530001,11.032924,0
1998-03-13,16.510000,16.510000,16.510000,16.510000,11.019573,0
1998-03-16,16.670000,16.670000,16.670000,16.670000,11.126364,0
1998-03-17,16.690001,16.690001,16.690001,16.690001,11.139715,0
1998-03-18,16.770000,16.770000,16.770000,16.770000,11.193110,0
1998-03-19,16.840000,16.840000,16.840000,16.840000,11.239831,0
1998-03-20,16.980000,16.980000,16.980000,16.980000,11.333274,0
1998-03-23,16.920000,16.920000,16.920000,16.920000,11.293226,0
1998-03-24,17.080000,17.080000,17.080000,17.080000,11.400018,0
1998-03-25,17.020000,17.020000,17.020000,17.020000,11.359973,0
1998-03-26,17.010000,17.010000,17.010000,17.010000,11.353299,0
1998-03-27,16.930000,16.930000,16.930000,16.930000,11.299901,0
1998-03-30,16.900000,16.900000,16.900000,16.900000,11.279880,0
1998-03-31,17.020000,17.020000,17.020000,17.020000,11.359973,0
1998-04-01,17.120001,17.120001,17.120001,17.120001,11.426715,0
1998-04-02,17.309999,17.309999,17.309999,17.309999,11.553534,0
1998-04-03,17.350000,17.350000,17.350000,17.350000,11.580233,0
1998-04-06,17.330000,17.330000,17.330000,17.330000,11.566881,0
1998-04-07,17.150000,17.150000,17.150000,17.150000,11.446739,0
1998-04-08,17.030001,17.030001,17.030001,17.030001,11.366647,0
1998-04-09,17.170000,17.170000,17.170000,17.170000,11.460087,0
1998-04-13,17.150000,17.150000,17.150000,17.150000,11.446739,0
1998-04-14,17.250000,17.250000,17.250000,17.250000,11.513484,0
1998-04-15,17.299999,17.299999,17.299999,17.299999,11.546857,0
1998-04-16,17.129999,17.129999,17.129999,17.129999,11.433391,0
1998-04-17,17.350000,17.350000,17.350000,17.350000,11.580233,0
1998-04-20,17.370001,17.370001,17.370001,17.370001,11.593579,0
1998-04-21,17.410000,17.410000,17.410000,17.410000,11.620277,0
1998-04-22,17.469999,17.469999,17.469999,17.469999,11.660323,0
1998-04-23,17.299999,17.299999,17.299999,17.299999,11.546857,0
1998-04-24,17.120001,17.120001,17.120001,17.120001,11.426715,0
1998-04-27,16.790001,16.790001,16.790001,16.790001,11.206458,0
1998-04-28,16.770000,16.770000,16.770000,16.770000,11.193110,0
1998-04-29,16.920000,16.920000,16.920000,16.920000,11.293226,0
1998-04-30,17.190001,17.190001,17.190001,17.190001,11.473438,0
1998-05-01,17.330000,17.330000,17.330000,17.330000,11.566881,0
1998-05-04,17.350000,17.350000,17.350000,17.350000,11.580233,0
1998-05-05,17.250000,17.250000,17.250000,17.250000,11.513484,0
1998-05-06,17.090000,17.090000,17.090000,17.090000,11.406693,0
1998-05-07,16.940001,16.940001,16.940001,16.940001,11.306577,0
1998-05-08,17.139999,17.139999,17.139999,17.139999,11.440063,0
